"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\.eslintrc.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\8ball.js", "JavaScript", 0, 0, 41, 0, 0, 0, 2, 43
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\accept.js", "JavaScript", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\addcredits.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\addemoji.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\addreplacer.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\addrole.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\apply.js", "JavaScript", 0, 0, 60, 0, 0, 2, 1, 63
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\approve.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\avatar.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\balance.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\ban.js", "JavaScript", 0, 0, 45, 0, 0, 1, 4, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\banlist.js", "JavaScript", 0, 0, 39, 0, 0, 1, 1, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\bio.js", "JavaScript", 0, 0, 29, 0, 0, 0, 2, 31
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\boost.js", "JavaScript", 0, 0, 59, 0, 0, 0, 1, 60
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\bug.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\buy.js", "JavaScript", 0, 0, 52, 0, 0, 7, 4, 63
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\calculate.js", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\cat.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\clrs.js", "JavaScript", 0, 0, 22, 0, 0, 1, 1, 24
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\cmd.js", "JavaScript", 0, 0, 41, 0, 0, 1, 1, 43
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\coinflip.js", "JavaScript", 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\color.js", "JavaScript", 0, 0, 42, 0, 0, 0, 4, 46
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\cooldowns.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\covid.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\cstmrl.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\daily.js", "JavaScript", 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\data.js", "JavaScript", 0, 0, 48, 0, 0, 4, 2, 54
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\decline.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\decode.js", "JavaScript", 0, 0, 31, 0, 0, 2, 2, 35
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\defend.js", "JavaScript", 0, 0, 38, 0, 0, 1, 1, 40
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\deldata.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\deleterole.js", "JavaScript", 0, 0, 30, 0, 0, 1, 1, 32
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\deposit.js", "JavaScript", 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\deprive.js", "JavaScript", 0, 0, 48, 0, 0, 1, 1, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\disown.js", "JavaScript", 0, 0, 34, 0, 0, 1, 1, 36
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\ditems.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\divorce.js", "JavaScript", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dm.js", "JavaScript", 0, 0, 38, 0, 0, 2, 2, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dose.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\downgrade.js", "JavaScript", 0, 0, 41, 0, 0, 0, 1, 42
