"filename", "language", "JSON", "JavaScript", "Markdown", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\.eslintrc.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\8ball.js", "JavaScript", 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\accept.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addcredits.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addemoji.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addquote.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addreplacer.js", "JavaScript", 0, 6, 0, 0, 0, 16, 1, 23
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addrole.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\apply.js", "JavaScript", 0, 56, 0, 0, 0, 4, 1, 61
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\approve.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\audit.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\avatar.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\balance.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\ban.js", "JavaScript", 0, 44, 0, 0, 0, 1, 4, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\banlist.js", "JavaScript", 0, 39, 0, 0, 0, 1, 1, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\bio.js", "JavaScript", 0, 35, 0, 0, 0, 1, 1, 37
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\boost.js", "JavaScript", 0, 65, 0, 0, 0, 0, 1, 66
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\bug.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\buy.js", "JavaScript", 0, 62, 0, 0, 0, 7, 4, 73
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\calculate.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\cat.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\clrs.js", "JavaScript", 0, 22, 0, 0, 0, 2, 1, 25
