"filename", "language", "JSON with Comments", "JavaScript", "Batch", "Markdown", "JSON", "HTML", "CSS", "Database", "XML", "CSV", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\details.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6, 156
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 143
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\results.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\details.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6, 156
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 143
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\results.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\details.md", "Markdown", 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 6, 303
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 290
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\results.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-31_21-58-00\details.md", "Markdown", 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 6, 309
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-31_21-58-00\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 296
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-31_21-58-00\results.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\details.md", "Markdown", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 6, 180
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 167
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\results.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\@public.html", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 124, 170
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\Constants.js.html", "HTML", 0, 0, 0, 0, 0, 692, 0, 0, 0, 0, 3, 23, 718
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\Construct.js.html", "HTML", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 21, 71
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\Funcs.html", "HTML", 0, 0, 0, 0, 0, 1240, 0, 0, 0, 0, 3, 3375, 4618
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\Functions.js.html", "HTML", 0, 0, 0, 0, 0, 455, 0, 0, 0, 0, 3, 25, 483
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\Utils.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 3, 154, 220
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Bold-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-BoldItalic-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Italic-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Light-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 1831
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-LightItalic-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1835, 0, 0, 0, 1835
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Regular-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 1831
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\global.html", "HTML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 3, 145, 202
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\index.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 36, 65
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\index.js.html", "HTML", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 3, 39, 152
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\module-Constants.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 49, 85
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\scripts\linenumber.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\scripts\prettify\lang-css.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\scripts\prettify\prettify.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\styles\jsdoc-default.css", "CSS", 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 55, 359
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\styles\prettify-jsdoc.css", "CSS", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 17, 17, 112
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\$bin\out\styles\prettify-tomorrow.css", "CSS", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 33, 26, 133
