Date : 2022-02-09 12:46:41
Directory : c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite
Total : 204 files,  24282 codes, 872 comments, 4459 blanks, all 29613 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |          6 |     10,987 |          0 |          0 |     10,987 |
| JavaScript         |        165 |      7,700 |        791 |        301 |      8,792 |
| HTML               |         10 |      2,763 |         30 |      3,991 |      6,784 |
| Markdown           |         11 |      1,184 |          0 |         68 |      1,252 |
| CSV                |          5 |      1,039 |          0 |          0 |      1,039 |
| CSS                |          3 |        456 |         50 |         98 |        604 |
| JSON with Comments |          1 |         56 |          1 |          0 |         57 |
| JSON               |          1 |         48 |          0 |          1 |         49 |
| Database           |          1 |         46 |          0 |          0 |         46 |
| Batch              |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| $bin                                                                                                                                           |         37 |     16,475 |         81 |      4,159 |     20,715 |
| $bin\.VSCodeCounter                                                                                                                            |         15 |      2,217 |          0 |         65 |      2,282 |
| $bin\.VSCodeCounter\2021-12-16_10-27-23                                                                                                        |          3 |        312 |          0 |         13 |        325 |
| $bin\.VSCodeCounter\2021-12-17_21-36-16                                                                                                        |          3 |        312 |          0 |         13 |        325 |
| $bin\.VSCodeCounter\2021-12-22_00-46-52                                                                                                        |          3 |        609 |          0 |         13 |        622 |
| $bin\.VSCodeCounter\2021-12-31_21-58-00                                                                                                        |          3 |        621 |          0 |         13 |        634 |
| $bin\.VSCodeCounter\2022-01-10_22-40-29                                                                                                        |          3 |        363 |          0 |         13 |        376 |
| $bin\out                                                                                                                                       |         22 |     14,258 |         81 |      4,094 |     18,433 |
| $bin\out\fonts                                                                                                                                 |          6 |     10,987 |          0 |          0 |     10,987 |
| $bin\out\scripts                                                                                                                               |          3 |         52 |          1 |          5 |         58 |
| $bin\out\scripts\prettify                                                                                                                      |          2 |         30 |          0 |          2 |         32 |
| $bin\out\styles                                                                                                                                |          3 |        456 |         50 |         98 |        604 |
| .                                                                                                                                              |        204 |     24,282 |        872 |      4,459 |     29,613 |
| src                                                                                                                                            |        163 |      7,651 |        790 |        296 |      8,737 |
| src\Utils                                                                                                                                      |          5 |        630 |        570 |         17 |      1,217 |
| src\cmds                                                                                                                                       |        136 |      5,782 |        122 |        220 |      6,124 |
| src\cmds\Support Server Only                                                                                                                   |         19 |        932 |         24 |         38 |        994 |
| src\cmds\admin                                                                                                                                 |         28 |      1,080 |         33 |         34 |      1,147 |
| src\cmds\dragon                                                                                                                                |         13 |        736 |         13 |         17 |        766 |
| src\cmds\economy                                                                                                                               |         20 |      1,141 |         19 |         40 |      1,200 |
| src\cmds\fun                                                                                                                                   |         13 |        432 |          5 |         14 |        451 |
| src\cmds\utilities                                                                                                                             |         43 |      1,461 |         28 |         77 |      1,566 |
| src\events                                                                                                                                     |         15 |        793 |         72 |         29 |        894 |
| src\models                                                                                                                                     |          5 |        371 |          6 |          7 |        384 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\details.md  | Markdown           |        150 |          0 |          6 |        156 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\results.csv | CSV                |        143 |          0 |          0 |        143 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-16_10-27-23\results.md  | Markdown           |         19 |          0 |          7 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\details.md  | Markdown           |        150 |          0 |          6 |        156 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\results.csv | CSV                |        143 |          0 |          0 |        143 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-17_21-36-16\results.md  | Markdown           |         19 |          0 |          7 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\details.md  | Markdown           |        297 |          0 |          6 |        303 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\results.csv | CSV                |        290 |          0 |          0 |        290 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-22_00-46-52\results.md  | Markdown           |         22 |          0 |          7 |         29 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-31_21-58-00\details.md  | Markdown           |        303 |          0 |          6 |        309 |
